send_message(send_message(warehouse_ready(_31847),_31847))
send_message(send_message(warehouse_update(_46659,copper,50),_46659))
send_message(send_message(warehouse_update(_52039,iron,200),_52039))
send_message(send_message(warehouse_update(_46627,copper,61),_46627))
send_message(send_message(warehouse_update(_2895,silver,9),_2895))
send_message(send_message(warehouse_update(_31253,copper,73),_31253))
send_message(send_message(warehouse_update(_46627,silver,18),_46627))
send_message(send_message(warehouse_update(_31077,iron,209),_31077))
send_message(send_message(warehouse_update(_2895,iron,217),_2895))
send_message(send_message(warehouse_update(_46627,iron,233),_46627))
send_message(send_message(warehouse_update(_2895,silver,34),_2895))
send_message(send_message(warehouse_update(_46627,copper,90),_46627))
send_message(send_message(warehouse_update(_46627,silver,40),_46627))
send_message(send_message(warehouse_update(_46627,iron,238),_46627))
send_message(send_message(warehouse_update(_2895,silver,52),_2895))
send_message(send_message(warehouse_update(_46627,silver,59),_46627))
send_message(send_message(warehouse_update(_2895,iron,249),_2895))
send_message(send_message(warehouse_update(_46627,iron,268),_46627))
